frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
191,191000,32106,214330.72679452132,8293364.46739402
192,192000,32160,214694.2730527682,8308479.476463946
193,193000,32292,215539.15505430667,8342835.985428302
194,194000,32326,215755.3583443211,8351135.331000359
195,195000,32388,216139.37512403738,8366343.070405272
196,196000,32500,216821.55234630435,8396851.27873278
197,197000,32598,217362.72518911434,8420311.998709174
198,198000,32690,217987.27745013716,8445859.146459747
199,199000,32738,218149.62558151037,8457728.601202102
200,200000,32838,218739.51416453952,8484481.24049348
201,201000,32944,219311.9210771711,8509147.451841947
202,202000,33060,219993.41376747467,8541185.70766745
203,203000,33086,219996.37726166606,8547166.80032814
204,204000,33126,220070.35298090565,8557135.2877465
205,205000,33152,220134.28991638252,8564136.411947524
206,206000,33182,220266.9308853316,8572574.852392694
207,207000,33262,220748.49701977873,8592790.018167598
208,208000,33330,221131.9446345057,8610594.201228445
209,209000,33408,221527.33500266296,8629835.700739432
210,210000,33482,221965.07317899138,8649819.04080173
211,211000,33536,222188.7358443174,8664099.479296703
212,212000,33604,222512.8769973889,8680698.170383984
213,213000,33612,222597.78752591813,8680929.995917328
214,214000,33686,223029.22374472735,8701423.351777468
215,215000,33734,223391.61534743218,8712736.425868852
216,216000,33774,223710.59995931073,8723354.024312409
217,217000,33812,223827.70476722418,8732766.131258857
218,218000,33876,224307.07089433717,8748993.901933651
219,219000,33924,224605.65298769376,8760863.35724165
220,220000,33934,224561.66484347085,8762393.40403454
221,221000,33986,224938.34859546024,8777091.127841042
222,222000,34066,225433.34467354877,8796657.183003003
223,223000,34164,226075.32180914632,8823270.726663485
224,224000,34220,226475.05007939963,8838107.54529038
225,225000,34294,226844.10652688163,8859157.282202234
226,226000,34372,227250.9040461868,8877007.830045864
227,227000,34398,227332.9228239224,8881829.796141027
228,228000,34472,227731.9771645922,8901210.391133301
229,229000,34514,227965.32886588914,8911364.339116422
230,230000,34576,228261.1849552293,8927870.299839938
231,231000,34648,228698.57511493616,8948131.830157753
232,232000,34696,229022.5000900183,8959073.984352022
233,233000,34762,229425.37437685713,8977202.722478654
234,234000,34862,230089.38516391712,9000756.17241751
235,235000,34946,230602.23450340828,9024866.002824223
236,236000,35054,231230.2831572894,9053705.069653958
237,237000,35116,231521.8394440499,9069051.903733736
238,238000,35188,231965.3005560004,9087644.292696401
239,239000,35232,232200.68165773217,9096917.30513474
240,240000,35290,232533.79879299933,9111893.218682425
241,241000,35360,232934.61746627724,9132386.574945634
242,242000,35412,233192.307574802,9144256.030083755
243,243000,35492,233665.18648458287,9166835.813580554
244,244000,35586,234238.54895030273,9192012.040829046
245,245000,35686,234744.86850200428,9219089.235699309
246,246000,35788,235382.88694584326,9245795.509550707
247,247000,35888,235936.21713626798,9270600.815773828
248,248000,35946,236372.2589408004,9284278.50829359
249,249000,35994,236572.70759006366,9298188.026049305
250,250000,36052,236894.05312296873,9312004.813644903
251,251000,36074,237002.67719806437,9316177.668796815
252,252000,36108,237169.8884347182,9324198.824163467
253,253000,36160,237344.80392229234,9337320.135663027
254,254000,36184,237435.7734420436,9344506.720127465
255,255000,36264,237959.97676518772,9366159.202214511
256,256000,36344,238432.17054890856,9386977.113847023
257,257000,36416,238883.17390715124,9406635.899016514
258,258000,36476,239325.82924528737,9423651.875241237
259,259000,36488,239218.42035269635,9424022.796050912
260,260000,36520,239360.87500549358,9432832.157214483
261,261000,36582,239725.47624181307,9447900.80114605
262,262000,36650,240110.02410541466,9466307.729712859
263,263000,36702,240274.2371762052,9478919.025371987
264,264000,36748,240564.66921060655,9490093.005105508
265,265000,36820,241050.50917751683,9507758.09283745
266,266000,36840,241109.14361890766,9512626.423831802
267,267000,36892,241565.98964103594,9526443.210973997
268,268000,36986,242059.32740220474,9551433.978160758
269,269000,37000,242030.92030784607,9555606.833492946
270,270000,37052,242257.34809305292,9567244.463544823
271,271000,37106,242568.8876671416,9581339.441516524
272,272000,37164,242855.6909104445,9597010.83112423
273,273000,37292,243656.7304835572,9630208.213136142
274,274000,37334,243885.7857688621,9641938.573397713
275,275000,37416,244327.3430149109,9662756.484861182
276,276000,37450,244496.96990909314,9671704.941744803
277,277000,37464,244485.91041919476,9674672.305079658
278,278000,37518,244856.11916014706,9688071.807097604
279,279000,37508,244883.65064030953,9684826.252791584
280,280000,37552,245161.95695234978,9697205.723847352
281,281000,37620,245453.45939618145,9713943.510064354
282,282000,37720,246141.78583976728,9739166.101966502
283,283000,37762,246343.05124065516,9750293.716132639
284,284000,37838,246709.66064625877,9770787.072018003
285,285000,37872,246902.0436088666,9777927.290962841
286,286000,37948,247334.0048037659,9798606.10794326
287,287000,37998,247592.50537779278,9809826.451841721
288,288000,38028,247795.2993432467,9820212.224826196
289,289000,38068,247991.60362625777,9829253.411131311
290,290000,38148,248609.42164931292,9851369.544443753
291,291000,38174,248587.9524941459,9856098.78066701
292,292000,38188,248659.139106412,9859807.985272374
293,293000,38178,248670.72720626782,9857165.177258559
294,294000,38234,248901.57395426426,9872558.37633922
