frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
212,212000,0.000006226857856112997,18.738623202719793,-33319.0920000001,33604,222512.8769973889,0.006415107382826441,102.78135153365417
213,213000,0.00000625348639856467,18.818757073601343,-33338.24200000015,33612,222597.78752591813,0.0063637919125090845,101.95918705860228
214,214000,0.000006279612843449499,18.897379970997793,-33406.5500000001,33686,223029.22374472735,0.00638828390323708,102.35159201124767
215,215000,0.0000063076400622286,18.98172290996599,-33458.562000000085,33734,223391.61534743218,0.006367266729271462,102.0148597608434
216,216000,0.000006335767503503647,19.06636745074225,-33500.87600000008,33774,223710.59995931073,0.006353923328883204,101.80107491764166
217,217000,0.000006362895176259498,19.148003365658717,-33540.64000000004,33812,223827.70476722418,0.006348490243769118,101.71402729743845
218,218000,0.000006389620542679237,19.22842861108205,-33606.072000000015,33876,224307.07089433717,0.0063382397814364996,101.54979678506827
219,219000,0.000006417225063304371,19.31149951500164,-33656.961999999985,33924,224605.65298769376,0.006324213042304148,101.32506364817759
220,220000,0.000006443608545643837,19.390895920983432,-33675.946000000054,33934,224561.66484347085,0.006286959089762891,100.72818952532012
221,221000,0.000006470660243492094,19.47230320290407,-33730.650000000016,33986,224938.34859546024,0.006272269752177136,100.49284039083179
222,222000,0.00000649669659212579,19.550654971628404,-33801.61399999996,34066,225433.34467354877,0.006310645845494415,101.10769319100326
223,223000,0.000006522655151549731,19.628772647536664,-33892.62799999982,34164,226075.32180914632,0.006338365410842493,101.55180959005654
224,224000,0.000006549538822443886,19.709674282170404,-33953.6279999998,34220,226475.05007939963,0.006313507821276173,101.15354709824933
225,225000,0.000006575075823730877,19.786523353708873,-34027.82799999972,34294,226844.10652688163,0.006313445925166965,101.15255541325024
226,226000,0.000006600612190515537,19.863370515825224,-34102.65399999965,34372,227250.9040461868,0.006327781207453802,101.38223195646788
